CASEID,wer_01,wer_03,wer_04,wer_05,wer_06,wer_07,wer_08,wer_09
  145,96,96,96,96,96,96,96,96
  146,96,96,96,96,96,96,96,96
  147, 8, 5,10,10, 5, 5, 8,10
  148,96,96,96,96,96,96,96,96
  149, 9, 6, 8,10, 5, 0, 8,10
  150,96,96,96,96,96,96,96,96
  151, 8, 8, 6,10,10, 6, 3, 8
  152,10, 3, 9,10, 9, 0, 5, 7
  153,96,96,96,96,96,96,96,96
  154,96,96,96,96,96,96,96,96
  155, 7, 2, 7, 9, 3, 7,10, 8
  156,96,96,96,96,96,96,96,96
  157,10, 0,10,10, 0, 2, 8,10
  158, 2,96, 2, 2, 4, 3, 7,10
  159,10,99, 8,10, 2, 1,10,10
  160,96,96,96,96,96,96,96,96
  161,96,96,96,96,96,96,96,96
  162,10, 7, 7, 8, 6, 8, 7, 7
  163, 7, 5, 8, 8, 2, 4, 6, 9
  164, 5,10, 4, 7,10,10, 2, 6
  165, 8, 4, 8,10, 2, 5, 9, 9
  166, 8,96,10,10, 6, 5, 8, 8
  167, 8, 5, 8, 8, 5, 5, 6, 8
  168,96,96,96,96,96,96,96,96
  169, 8, 2, 8, 9, 4, 2, 8, 8
  170,10,96,10,10, 1, 1,10,10
  171, 7,10,10,10,10, 5,10,10
  172,96,96,96,96,96,96,96,96
  173,96,96,96,96,96,96,96,96
  174, 7,96, 8, 8, 2, 2, 7, 7
  175, 9, 4,10,10, 0, 5, 6, 9
  176,96,96,96,96,96,96,96,96
  177,96,96,96,96,96,96,96,96
  178,10, 5,10,10,10, 1, 8,10
  179,96,96,96,96,96,96,96,96
  180, 8,96,10,10, 3, 3, 5,10
  181, 9, 8,10,10, 4, 4,10,10
  182, 6, 0,10,10, 0, 0,10, 5
  183,96,96,96,96,96,96,96,96
  184,10, 4, 8,10, 7, 5, 8, 8
  185,96,96,96,96,96,96,96,96
  186,96,96,96,96,96,96,96,96
  187,10, 1,10,10, 1, 0, 5,10
  188,96,96,96,96,96,96,96,96
